#mpa_vJan25_CHOCOPhlAnSGB_202503			
"#/opt/conda/bin/metaphlan /metagenomic_exercise/results/hostremoval/SRR5983451.clean_1.fastq.gz,/metagenomic_exercise/results/hostremoval/SRR5983451.clean_2.fastq.gz --input_type fastq --db_dir /metagenomic_exercise/db/metaphlan_db --nproc 12 --mapout /metagenomic_exercise/results/metaphlan/SRR5983451.mapout.bz2 -o /metagenomic_exercise/results/metaphlan/SRR5983451.profile.tsv"			
#18975086 reads processed			
#SampleID	Metaphlan_Analysis		
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	24.785485	
k__Bacteria	2	75.214515	
k__Bacteria|p__Firmicutes	2|1239	43.535678	
k__Bacteria|p__Bacteroidota	2|976	11.895091	
k__Bacteria|p__Pseudomonadota	2|1224	11.831306	
k__Bacteria|p__Verrucomicrobiota	2|74201	4.717546	
k__Bacteria|p__Actinomycetota	2|201174	1.694765	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	1.515912	
k__Bacteria|p__Bacteria_unclassified	2|	0.024218	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.802743	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	11.895091	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	8.152982	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	4.717546	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.829854	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	3.678324	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	1.515912	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.35114	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.343624	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.337317	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.140203	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.09351	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.069153	
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.068432	
k__Bacteria|p__Firmicutes|c__CFGB3034	2|1239|	0.055545	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.048395	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.03435	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.024218	
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.017419	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.016356	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.010198	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.006971	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.003448	
k__Bacteria|p__Firmicutes|c__CFGB79330	2|1239|	0.001094	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.00069	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	26.467028	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	12.174582	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	11.895091	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	8.03342	
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales	2|74201|203494|48461	4.717546	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.829854	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	3.678324	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	1.515912	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	1.35114	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.343624	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.337317	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.140203	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales	2|1239|186801|3085656	0.123194	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.119562	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.09351	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.069153	
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified	2|1239||	0.068432	
k__Bacteria|p__Firmicutes|c__CFGB3034|o__OFGB3034	2|1239||	0.055545	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.048395	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	2|1239|186801|3082720	0.03694	
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491	2|1239||	0.03435	
