#mpa_vJan25_CHOCOPhlAnSGB_202503						
clade_name	SRR5983287.profile	SRR5983306.profile	SRR5983438.profile	SRR5983451.profile	SRR5983464.profile	SRR5983484.profile
UNCLASSIFIED	2.281386	0.591169	3.382473	24.785485	17.089936	0
k__Bacteria	97.718614	99.408831	96.617527	75.214515	82.910064	100
k__Bacteria|p__Bacteroidota	68.67619	84.732761	51.955957	11.895091	53.977484	96.93967
k__Bacteria|p__Firmicutes	27.404015	10.435535	37.177352	43.535678	26.556524	3.06033
k__Bacteria|p__Actinomycetota	0.997081	0.032425	6.57267	1.694765	1.411539	0
k__Bacteria|p__Pseudomonadota	0.641327	0.12147	0.797902	11.831306	0.876527	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	68.67619	84.732761	51.955957	11.895091	53.977484	96.93967
k__Bacteria|p__Firmicutes|c__Clostridia	26.455138	7.387586	33.873152	38.802743	24.406712	2.58172
k__Bacteria|p__Actinomycetota|c__Actinomycetes	0.995379	0	5.956115	1.35114	1.34997	0
k__Bacteria|p__Firmicutes|c__CFGB72924	0.77021	0	0	0	0	0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	0.602232	0.11395	0.537323	3.678324	0.874951	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.178666	0.009083	0.355886	0.337317	0.067798	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	0.039095	0.00752	0.260579	8.152982	0.001576	0
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	0.001702	0.032425	0.616555	0.343624	0.061569	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	68.67619	84.732761	51.955957	11.895091	53.977484	96.93967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	18.181921	4.018706	29.217329	12.174582	3.525617	0.92597
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	8.273217	3.360082	4.6059	26.467028	20.881095	1.65575
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	0.995379	0	5.956115	1.35114	1.34997	0
