# Pathway	SRR5983438.clean.concat_Abundance
UNMAPPED	1455673.9233650321
UNINTEGRATED	8049097.9737807792
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	1058536.4239691019
UNINTEGRATED|unclassified	698473.0484505784
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	565108.4940632625
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	564241.1580628563
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	458203.8840740810
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	436199.1541457953
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	351372.6284583468
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	319087.6310719667
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	312609.7812915518
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	281699.3676394969
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	249740.5809382189
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	200636.1322007221
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	195801.7256136541
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	169639.8443230607
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	166774.1137782671
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	126219.6695290493
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	121892.2870503055
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	111867.7642545149
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	91482.2051272441
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	82377.1381204318
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	68642.6388731116
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	57691.9987289542
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	56587.7263916340
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	55891.6866389937
UNINTEGRATED|g__Blautia.s__Blautia_obeum	51630.9092580720
UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	46908.8618810767
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	44786.0497548078
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	43896.5984528260
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	41291.8779792801
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	34671.8384535025
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	33654.9958301817
UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum	31805.8447005819
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	30188.9245203881
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	30047.4816044126
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	29981.0381900641
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	24131.9970941491
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	23235.0392279363
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	23037.5506250195
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	22589.1460914084
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	20506.3827065720
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	18953.4990122671
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	17490.7344842866
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	17394.8954630039
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	17369.5252643210
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	16586.4009234307
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	16528.1129069689
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	12831.3591629637
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	11480.1572571601
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_CAG_241	8536.5865571652
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_tayi	7909.3658627958
UNINTEGRATED|g__Prevotella.s__Prevotella_corporis	7843.3771718417
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	5983.9299476406
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	5883.2673068508
UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	5639.1176269792
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	5195.4843680148
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	4878.6349747152
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	4387.1793574805
UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	3661.1389639269
UNINTEGRATED|g__Megasphaera.s__Megasphaera_sp_MJR8396C	3262.7012369029
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	1849.1453046704
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_scindens	1628.1140678289
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	862.1894687236
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_38	373.8421649871
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	7865.4145419606
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_dorei	1948.6595675240
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_caccae	738.5322338512
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	531.7772581447
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	484.5684205648
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	470.8071958812
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	409.8609372740
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	388.6725182055
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	214.0972333723
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_putredinis	183.0192234719
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	176.9449307547
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	145.4080639035
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	140.1048545857
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	126.9103388100
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	123.2762474525
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	120.0442910559
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	115.7057009953
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bifidobacterium.s__Bifidobacterium_longum	98.5277863372
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	83.6993634769
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	68.7266441696
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_onderdonkii	60.5773300350
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Acidaminococcus.s__Acidaminococcus_intestini	58.8556145486
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospira.s__Lachnospira_pectinoschiza	49.1876196170
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	47.5483062379
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	44.9933317177
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	36.4071886479
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Ruminococcaceae_unclassified.s__Clostridium_leptum	34.4034685823
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	33.4441241291
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	31.6851447753
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_shahii	30.0711620877
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	27.3107484763
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_faecis	24.9971930983
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Oscillibacter.s__Oscillibacter_sp_CAG_241	20.1399761981
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	19.8771149514
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_hominis	16.6249026676
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	14.5593767588
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_formicigenerans	13.4708211941
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	5.9273423773
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	3.5294132532
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_sp_CAG_38	3.0775473079
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	1.4418346149
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Coprococcus.s__Coprococcus_comes	1.2063744002
PWY-1042: glycolysis IV	6797.9468700330
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_dorei	1492.2194322205
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	729.8864675114
PWY-1042: glycolysis IV|unclassified	361.8883229552
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_gnavus	353.2466038572
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	292.9112114471
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_caccae	242.1235822209
PWY-1042: glycolysis IV|g__Alistipes.s__Alistipes_putredinis	198.2756331373
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	134.0350443239
PWY-1042: glycolysis IV|g__Coprococcus.s__Coprococcus_comes	84.0663373528
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_lactaris	60.8211868000
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	60.2250018659
PWY-1042: glycolysis IV|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	55.9488601827
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_fragilis	50.7410975740
PWY-1042: glycolysis IV|g__Acidaminococcus.s__Acidaminococcus_intestini	49.9634265018
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_cellulosilyticus	46.2615453048
PWY-1042: glycolysis IV|g__Alistipes.s__Alistipes_shahii	39.8395344852
PWY-1042: glycolysis IV|g__Collinsella.s__Collinsella_aerofaciens	38.6929068942
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	36.3730492252
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp_CAG_52	29.2468926962
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_hallii	24.2001873737
