# Pathway	SRR5983287.clean.concat_Abundance	SRR5983306.clean.concat_Abundance	SRR5983438.clean.concat_Abundance	SRR5983451.clean.concat_Abundance	SRR5983464.clean.concat_Abundance
UNMAPPED	483503.5219083613	1426264.4575058953	1455673.9233650321	2280520.2017872334	1124894.0653576662
UNINTEGRATED	3153078.5734867854	7383653.8379154950	8049097.9737807792	7843889.5995465126	3227067.7196671031
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	43896.5984528260	0	0
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	3628.2384738774	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	30569.8313780880	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	1067.3455096412	91482.2051272441	12828.2804345945	12933.4152451522
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	23235.0392279363	6582.8388049837	1815.3614879490
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	0	169639.8443230607	0	60209.6886491185
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	17369.5252643210	0	0
UNINTEGRATED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	0	0	0	3197.4162869793	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	19837.6956442212	7055.0181144878	68642.6388731116	9202.8229621591	41206.0934319829
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	0	0	862.1894687236	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0	214665.7259753671	319087.6310719667	91144.4635698972	83759.9598387748
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	56587.7263916340	0	71306.6547396433
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	571817.4219821149	0	1058536.4239691019	37640.6532240837	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	0	0	0	80175.2792424025	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	152776.1541451698	0	0	0	8973.9773926949
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	29437.7980737242	0	28902.1509003230	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0	518042.4584403847	436199.1541457953	70193.0465090142	327105.2328134257
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	41291.8779792801	0	24003.4938022762
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	392806.0169328387	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	189532.9860310284	70286.3790193910	312609.7812915518	58205.4351032148	122114.3061570878
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	255852.5495687428	180583.4232758702	565108.4940632625	22446.0793305760	943752.1839724454
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	350742.8949853817	166774.1137782671	24128.6906516993	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	588915.3938084051	1263202.1160501596	249740.5809382189	114585.3466314886	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	0	4264484.1071895109	0	324351.4898124997	244174.4350265226
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	458203.8840740810	11166.5856650265	56333.2087635642
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	638.3134919827	0	0	27190.0113610633	2218.9735027931
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	1227.3963740986	0	0	15201.9655505747	1387.4594940660
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	1334.4248215779	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	21810.5395802651	0	126219.6695290493	4839.2259687179	43153.8804196811
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	200636.1322007221	7021.4590944244	0
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	0	5883.2673068508	96178.5485969965	0
UNINTEGRATED|g__Blautia.s__Blautia_obeum	29086.0777751626	26821.2789883703	51630.9092580720	26895.9786185300	0
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	0	0	16528.1129069689	0	0
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	8379.6297104727	3903.0325722426	4387.1793574805	7925.9708713136	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	19395.5451882198	0	351372.6284583468	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	0	11281.4300809149	564241.1580628563	100342.9442187289	0
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10	0	55041.6819699261	0	0	0
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21	0	28263.6232704467	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii	0	0	0	99731.7931178173	0
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	0	2593.4013428010	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AM22_11AC	0	0	0	7878.9244532902	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_505	0	8468.5455436545	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	0	0	4878.6349747152	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	0	0	30188.9245203881	12924.4537869990	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	0	0	82377.1381204318	19590.3509648125	0
UNINTEGRATED|g__Dialister.s__Dialister_invisus	0	70892.2829449563	0	134701.5275309011	39456.3922059754
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0	0	22589.1460914084	0	0
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0	24879.4285699783	111867.7642545149	47344.6888534268	0
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	0	0	20506.3827065720	0	0
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_tayi	0	0	7909.3658627958	21160.2036726363	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	11299.8730957646	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	14480.9549026571	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	0	57691.9987289542	1679984.5769745458	0
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	0	0	0	19263.9196286304	0
UNINTEGRATED|g__Escherichia.s__Escherichia_marmotae	0	0	0	3431.2617903761	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	0	0	24131.9970941491	9221.6111183112	6650.8915317492
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	19435.9264963715	4681.3844857101	17394.8954630039	5776.0157128738	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_36_13	0	0	0	9767.2189683841	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_38	0	0	373.8421649871	3747.4092872044	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	74338.3949443930	0
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	129227.7599342857	38967.2640582403	55891.6866389937	496609.9705137842	404830.9837816223
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	67248.8150938798	6244.7812065850	0	10583.9204362768	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114	0	0	0	3204.4643980350	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	0	0	1849.1453046704	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424	0	1793.0737205711	0	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	0	0	0	5883.1821266609	0
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	64706.2659370590	41361.4812266177	30047.4816044126	13304.5155746799	37918.1970497415
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	18073.3135500679	11480.1572571601	41596.0688943967	0
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	0	0	0	17453.1498174602	0
UNINTEGRATED|g__Hungatella.s__Hungatella_effluvii	0	0	0	1795.6546921382	0
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	0	35782.7536579955	12831.3591629637	21134.9170981364	0
