# Pathway	SRR5983287.clean.concat_Abundance-CPM	SRR5983306.clean.concat_Abundance-CPM	SRR5983438.clean.concat_Abundance-CPM	SRR5983451.clean.concat_Abundance-CPM	SRR5983464.clean.concat_Abundance-CPM
UNMAPPED	125141	154515	144832	213259	246899
UNINTEGRATED	816083	799912	800841	733509	708298
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	4367.47	0	0
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	393.067	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	3311.8	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	115.631	9101.97	1199.62	2838.71
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	2311.76	615.583	398.448
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	0	16878.2	0	13215.2
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	1728.17	0	0
UNINTEGRATED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	0	0	0	299.001	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	5134.41	764.309	6829.56	860.587	9044.19
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	0	0	85.7831	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0	23255.9	31747.5	8523.23	18384.2
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	5630.17	0	15650.9
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	147998	0	105319	3519.9	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	0	0	0	7497.46	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	39541.7	0	0	0	1969.67
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	3189.16	0	2702.74	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0	56122.4	43399.4	6563.99	71795.3
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	4108.31	0	5268.45
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	101666	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	49055.1	7614.51	31102.9	5442.99	26802.5
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	66220	19563.6	56225.2	2099.01	207141
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	37997.9	16593.1	2256.36	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	152424	136850	24847.8	10715.3	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	0	461995	0	30331.2	53593
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	45588.8	1044.23	12364.4
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	165.209	0	0	2542.63	487.035
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	317.676	0	0	1421.59	304.529
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	124.787	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	5645.03	0	12558.2	452.532	9471.7
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	19962.2	656.6	0
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	0	585.353	8993.98	0
UNINTEGRATED|g__Blautia.s__Blautia_obeum	7528.09	2905.7	5136.99	2515.13	0
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	0	0	1644.46	0	0
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	2168.82	422.837	436.5	741.184	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	5019.97	0	34959.6	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	0	1222.18	56138.9	9383.41	0
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10	0	5962.97	0	0	0
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21	0	3061.95	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii	0	0	0	9326.26	0
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	0	280.957	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AM22_11AC	0	0	0	736.785	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_505	0	917.444	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	0	0	485.397	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	0	0	3003.63	1208.61	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	0	0	8196.07	1831.96	0
UNINTEGRATED|g__Dialister.s__Dialister_invisus	0	7680.15	0	12596.4	8660.15
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0	0	2247.5	0	0
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0	2695.32	11130.2	4427.36	0
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	0	0	2040.27	0	0
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_tayi	0	0	786.938	1978.76	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	1056.69	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	1354.16	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	0	5740.04	157101	0
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	0	0	0	1801.43	0
UNINTEGRATED|g__Escherichia.s__Escherichia_marmotae	0	0	0	320.869	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	0	0	2401	862.344	1459.78
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	5030.43	507.16	1730.7	540.135	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_36_13	0	0	0	913.366	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_38	0	0	37.1952	350.433	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	6951.63	0
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	33446.9	4221.54	5560.91	46439.7	88855
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	17405.4	676.531	0	989.738	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114	0	0	0	299.66	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	0	0	183.98	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424	0	194.253	0	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	0	0	0	550.156	0
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	16747.3	4480.92	2989.56	1244.15	8322.54
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0	1957.98	1142.21	3889.79	0
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	0	0	0	1632.1	0
UNINTEGRATED|g__Hungatella.s__Hungatella_effluvii	0	0	0	167.918	0
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	0	3876.54	1276.65	1976.4	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_aerogenes	0	0	0	369.417	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	4027.05	0
