# Pathway	SRR5983287.clean.concat_Coverage	SRR5983306.clean.concat_Coverage	SRR5983438.clean.concat_Coverage	SRR5983451.clean.concat_Coverage	SRR5983464.clean.concat_Coverage
UNMAPPED	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini	0	0	1.0000000000	0	0
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	1.0000000000	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	1.0000000000	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	0	1.0000000000	0	1.0000000000
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	1.0000000000	0	0
UNINTEGRATED|g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250	0	0	0	1.0000000000	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	0	0	1.0000000000	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	1.0000000000	0	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	1.0000000000	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	0	0	0	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	1.0000000000	0	0	0	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	0	1.0000000000	0	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	0	0	1.0000000000	0	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	1.0000000000	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	0	1.0000000000	0	1.0000000000	1.0000000000
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	1.0000000000	0	0	1.0000000000	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	1.0000000000	0	0	1.0000000000	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	1.0000000000	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	1.0000000000	0	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Blautia.s__Blautia_obeum	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	0	0	1.0000000000	0	0
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	1.0000000000	0	1.0000000000	0	0
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	0	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_10	0	1.0000000000	0	0	0
UNINTEGRATED|g__Candidatus_Gastranaerophilales_unclassified.s__Candidatus_Gastranaerophilales_bacterium_HUM_21	0	1.0000000000	0	0	0
UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii	0	0	0	1.0000000000	0
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	0	1.0000000000	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AM22_11AC	0	0	0	1.0000000000	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_505	0	1.0000000000	0	0	0
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	0	0	1.0000000000	0	0
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	0	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	0	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Dialister.s__Dialister_invisus	0	1.0000000000	0	1.0000000000	1.0000000000
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	0	0	1.0000000000	0	0
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	0	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	0	0	1.0000000000	0	0
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_tayi	0	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	1.0000000000	0
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	1.0000000000	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	0	0	0	1.0000000000	0
UNINTEGRATED|g__Escherichia.s__Escherichia_marmotae	0	0	0	1.0000000000	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	0	0	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_36_13	0	0	0	1.0000000000	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_38	0	0	1.0000000000	1.0000000000	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	1.0000000000	0
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15	1.0000000000	1.0000000000	0	1.0000000000	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_114	0	0	0	1.0000000000	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	0	0	1.0000000000	0	0
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_424	0	1.0000000000	0	0	0
